"","order_id","quantity","item_name","choice_description","item_price","Calories","TotalFat.g.","SaturatedFat.g.","TransFat.g.","Cholesterol.mg.","Sodium.mg.","Carbohydrates.g.","DietaryFiber.g.","Sugar.g.","Protein.g.","VitaminA..DV.","VitaminC..DV.","Calcium...DV.","Iron..DV.","Calories.Share","TotalFat.g..Share","SaturatedFat.g..Share","TransFat.g..Share","Cholesterol.mg..Share","Sodium.mg..Share","Carbohydrates.g..Share","DietaryFiber.g..Share","Sugar.g..Share","Protein.g..Share","VitaminA..DV..Share","VitaminC..DV..Share","Calcium...DV..Share","Iron..DV..Share"
"11","5","1","Chips and Guacamole","NULL","$4.45 ","800","49","7","0","0","795","81","14","5","10","7","9","6","13","0.4","0.753846153846154","0.35","0","0","0.33125","0.27","0.56","0.0555555555555556","0.2","0.07","0.09","0.06","0.13"
"12","6","1","Chicken Crispy Tacos","Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream","$8.75 ","1010","38.5","18","0","195","1695","108","23.5","12","57.5","34","44","45","35","0.505","0.592307692307692","0.9","0","0.65","0.70625","0.36","0.94","0.133333333333333","1.15","0.34","0.44","0.45","0.35"
"13","6","1","Chicken Soft Tacos","Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream","$8.75 ","990","30.5","15","0","195","1525","119","22.5","7","56.5","30","14","43","33","0.495","0.469230769230769","0.75","0","0.65","0.635416666666667","0.396666666666667","0.9","0.0777777777777778","1.13","0.3","0.14","0.43","0.33"
"14","7","1","Chicken Bowl","Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole","$11.25 ","850","50.5","18.5","0","195","1660","53","9.5","8","47.5","48","64","39","24","0.425","0.776923076923077","0.925","0","0.65","0.691666666666667","0.176666666666667","0.38","0.0888888888888889","0.95","0.48","0.64","0.39","0.24"
"15","7","1","Chips and Guacamole","NULL","$4.45 ","800","49","7","0","0","795","81","14","5","10","7","9","6","13","0.4","0.753846153846154","0.35","0","0","0.33125","0.27","0.56","0.0555555555555556","0.2","0.07","0.09","0.06","0.13"
"16","8","1","Chips and Tomatillo-Green Chili Salsa","NULL","$2.39 ","590","27","3.5","0","0","670","77","9","6","8.5","5","22","6","9","0.295","0.415384615384615","0.175","0","0","0.279166666666667","0.256666666666667","0.36","0.0666666666666667","0.17","0.05","0.22","0.06","0.09"
"17","8","1","Chicken Burrito","Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Cheese, Sour Cream","$8.49 ","830","35","16","0","195","1770","73","14.5","5","53.5","23","32","58","36","0.415","0.538461538461539","0.8","0","0.65","0.7375","0.243333333333333","0.58","0.0555555555555556","1.07","0.23","0.32","0.58","0.36"
"18","9","1","Chicken Burrito","Fresh Tomato Salsa (Mild), Black Beans, Rice, Cheese, Sour Cream, Lettuce","$8.49 ","1025","39","16","0","195","2065","110","18.5","6","58.5","76","39","59","42","0.5125","0.6","0.8","0","0.65","0.860416666666667","0.366666666666667","0.74","0.0666666666666667","1.17","0.76","0.39","0.59","0.42"
"19","9","2","Canned Soda","Sprite","$2.18 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","10","1","Chicken Bowl","Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce","$8.75 ","565","26.5","15","0","195","1460","33","16.5","6","49","78","44","37","24","0.2825","0.407692307692308","0.75","0","0.65","0.608333333333333","0.11","0.66","0.0666666666666667","0.98","0.78","0.44","0.37","0.24"
"21","10","1","Chips and Guacamole","NULL","$4.45 ","800","49","7","0","0","795","81","14","5","10","7","9","6","13","0.4","0.753846153846154","0.35","0","0","0.33125","0.27","0.56","0.0555555555555556","0.2","0.07","0.09","0.06","0.13"
"22","11","1","Barbacoa Burrito","Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce","$8.99 ","935","39","15.5","0","135","2775","98","10","8","45","103","55","56","44","0.4675","0.6","0.775","0","0.45","1.15625","0.326666666666667","0.4","0.0888888888888889","0.9","1.03","0.55","0.56","0.44"
"23","11","1","Nantucket Nectar","Pomegranate Cherry","$3.39 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","12","1","Chicken Burrito","Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce","$10.98 ","1275","62","19.5","0","195","3020","120","24.5","7","60","92","49","62","52","0.6375","0.953846153846154","0.975","0","0.65","1.25833333333333","0.4","0.98","0.0777777777777778","1.2","0.92","0.49","0.62","0.52"
"25","12","1","Izze","Grapefruit","$3.39 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","13","1","Chips and Fresh Tomato Salsa","NULL","$2.39 ","590","27","3.5","0","0","630","78","9","7","9","15","27","6","8","0.295","0.415384615384615","0.175","0","0","0.2625","0.26","0.36","0.0777777777777778","0.18","0.15","0.27","0.06","0.08"
"27","13","1","Chicken Bowl","Roasted Chili Corn Salsa (Medium), Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce","$8.49 ","800","31","15","0","195","1705","78","16.5","9","53.5","68","62","40","31","0.4","0.476923076923077","0.75","0","0.65","0.710416666666667","0.26","0.66","0.1","1.07","0.68","0.62","0.4","0.31"
"28","14","1","Carnitas Burrito","Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Sour Cream, Lettuce","$8.99 ","1045","39","14","0","105","2435","124.5","21","9","49","65","43","40","43","0.5225","0.6","0.7","0","0.35","1.01458333333333","0.415","0.84","0.1","0.98","0.65","0.43","0.4","0.43"
"29","14","1","Canned Soda","Dr. Pepper","$1.09 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","15","1","Chicken Burrito","Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream","$8.49 ","1015","39","16","0","195","2145","107","15.5","5","57","30","32","60","41","0.5075","0.6","0.8","0","0.65","0.89375","0.356666666666667","0.62","0.0555555555555556","1.14","0.3","0.32","0.6","0.41"
"31","15","1","Chips and Tomatillo-Green Chili Salsa","NULL","$2.39 ","590","27","3.5","0","0","670","77","9","6","8.5","5","22","6","9","0.295","0.415384615384615","0.175","0","0","0.279166666666667","0.256666666666667","0.36","0.0666666666666667","0.17","0.05","0.22","0.06","0.09"
"32","16","1","Steak Burrito","Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild), Rice, Black Beans, Sour Cream","$8.99 ","1010","32.5","10","0","105","2215","126","20","11","53.5","40","37","38","51","0.505","0.5","0.5","0","0.35","0.922916666666667","0.42","0.8","0.122222222222222","1.07","0.4","0.37","0.38","0.51"
"33","16","1","Side of Chips","NULL","$1.69 ","570","27","3.5","0","0","420","73","8","4","8","0","2","4","6","0.285","0.415384615384615","0.175","0","0","0.175","0.243333333333333","0.32","0.0444444444444444","0.16","0","0.02","0.04","0.06"
"34","17","1","Carnitas Bowl","Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce","$8.99 ","790","36.5","18","0","135","2025","67.5","17","6","46.5","87","43","40","25","0.395","0.561538461538462","0.9","0","0.45","0.84375","0.225","0.68","0.0666666666666667","0.93","0.87","0.43","0.4","0.25"
"35","17","1","Bottled Water","NULL","$1.09 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","18","1","Chicken Soft Tacos","Roasted Chili Corn Salsa, Rice","$8.75 ","655","12.5","3","0","125","1045","95","10.5","4","41.5","11","12","11","23","0.3275","0.192307692307692","0.15","0","0.416666666666667","0.435416666666667","0.316666666666667","0.42","0.0444444444444444","0.83","0.11","0.12","0.11","0.23"
"37","18","1","Chicken Soft Tacos","Roasted Chili Corn Salsa, Cheese, Lettuce","$8.75 ","575","16","8","0","155","860","63","10.5","4","44","46","22","29","20","0.2875","0.246153846153846","0.4","0","0.516666666666667","0.358333333333333","0.21","0.42","0.0444444444444444","0.88","0.46","0.22","0.29","0.2"
"38","18","1","Chips and Guacamole","NULL","$4.45 ","800","49","7","0","0","795","81","14","5","10","7","9","6","13","0.4","0.753846153846154","0.35","0","0","0.33125","0.27","0.56","0.0555555555555556","0.2","0.07","0.09","0.06","0.13"
"39","18","1","Chips and Tomatillo Green Chili Salsa","NULL","$2.95 ","570","27","3.5","0","0","420","73","8","4","8","0","2","4","6","0.285","0.415384615384615","0.175","0","0","0.175","0.243333333333333","0.32","0.0444444444444444","0.16","0","0.02","0.04","0.06"
"40","19","1","Barbacoa Bowl","Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce","$11.75 ","1020","53","18","0","135","2260","89","25","10","48.5","82","59","40","45","0.51","0.815384615384615","0.9","0","0.45","0.941666666666667","0.296666666666667","1","0.111111111111111","0.97","0.82","0.59","0.4","0.45"
"41","19","1","Chips","NULL","$2.15 ","570","27","3.5","0","0","420","73","8","4","8","0","2","4","6","0.285","0.415384615384615","0.175","0","0","0.175","0.243333333333333","0.32","0.0444444444444444","0.16","0","0.02","0.04","0.06"
"42","20","1","Chips and Guacamole","NULL","$4.45 ","800","49","7","0","0","795","81","14","5","10","7","9","6","13","0.4","0.753846153846154","0.35","0","0","0.33125","0.27","0.56","0.0555555555555556","0.2","0.07","0.09","0.06","0.13"
"43","20","1","Chicken Bowl","Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce","$11.25 ","1015","52.5","18.5","0","195","1870","83","23.5","8","55.5","72","31","39","36","0.5075","0.807692307692308","0.925","0","0.65","0.779166666666667","0.276666666666667","0.94","0.0888888888888889","1.11","0.72","0.31","0.39","0.36"
"44","20","1","Steak Burrito","Fresh Tomato Salsa, Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce","$11.75 ","1260","60.5","18.5","0","135","2490","119","22","8","57.5","84","52","61","56","0.63","0.930769230769231","0.925","0","0.45","1.0375","0.396666666666667","0.88","0.0888888888888889","1.15","0.84","0.52","0.61","0.56"
"45","20","1","Chicken Salad Bowl","Fresh Tomato Salsa, Fajita Vegetables, Pinto Beans, Lettuce","$8.75 ","610","33.5","7.5","0","135","1840","49","15.5","18","40.5","59","77","12","24","0.305","0.515384615384615","0.375","0","0.45","0.766666666666667","0.163333333333333","0.62","0.2","0.81","0.59","0.77","0.12","0.24"
"46","21","1","Chicken Burrito","Tomatillo-Red Chili Salsa (Hot), Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce","$10.98 ","1095","58.5","19.5","0","195","2525","87","25.5","7","58","85","51","59","46","0.5475","0.9","0.975","0","0.65","1.05208333333333","0.29","1.02","0.0777777777777778","1.16","0.85","0.51","0.59","0.46"
"47","21","1","Steak Burrito","Tomatillo-Red Chili Salsa (Hot), Rice, Fajita Veggies, Cheese","$8.99 ","820","29.5","8","0","95","2245","91","7","4","48.5","40","30","46","39","0.41","0.453846153846154","0.4","0","0.316666666666667","0.935416666666667","0.303333333333333","0.28","0.0444444444444444","0.97","0.4","0.3","0.46","0.39"
"48","21","1","Izze","Blackberry","$3.39 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","22","1","Steak Burrito","Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Sour Cream","$8.99 ","1035","33.5","10","0","105","2715","130","22","12","54.5","60","37","38","53","0.5175","0.515384615384615","0.5","0","0.35","1.13125","0.433333333333333","0.88","0.133333333333333","1.09","0.6","0.37","0.38","0.53"
"50","22","1","Chips and Guacamole","NULL","$3.99 ","800","49","7","0","0","795","81","14","5","10","7","9","6","13","0.4","0.753846153846154","0.35","0","0","0.33125","0.27","0.56","0.0555555555555556","0.2","0.07","0.09","0.06","0.13"
"51","23","1","Steak Burrito","Roasted Chili Corn Salsa (Medium), Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce","$8.99 ","995","39.5","15","0","135","2105","105","9","9","52.5","67","50","54","43","0.4975","0.607692307692308","0.75","0","0.45","0.877083333333333","0.35","0.36","0.1","1.05","0.67","0.5","0.54","0.43"
"52","23","2","Canned Soda","Mountain Dew","$2.18 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","24","1","Chicken Burrito","Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce","$10.98 ","1335","63","19.5","0","195","2730","133","27.5","10","63.5","76","61","61","53","0.6675","0.969230769230769","0.975","0","0.65","1.1375","0.443333333333333","1.1","0.111111111111111","1.27","0.76","0.61","0.61","0.53"
"54","24","1","Canned Soda","Sprite","$1.09 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","25","1","Steak Bowl","Fresh Tomato Salsa (Mild), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream","$8.99 ","750","29","14","0","135","1555","69","15","9","50.5","47","57","40","34","0.375","0.446153846153846","0.7","0","0.45","0.647916666666667","0.23","0.6","0.1","1.01","0.47","0.57","0.4","0.34"
"56","25","1","Chips and Fresh Tomato Salsa","NULL","$2.39 ","590","27","3.5","0","0","630","78","9","7","9","15","27","6","8","0.295","0.415384615384615","0.175","0","0","0.2625","0.26","0.36","0.0777777777777778","0.18","0.15","0.27","0.06","0.08"
"57","26","1","Barbacoa Soft Tacos","Fresh Tomato Salsa, Fajita Vegetables, Black Beans, Lettuce","$9.25 ","540","8.5","2.5","0","65","1200","79","22","6","36","64","67","16","37","0.27","0.130769230769231","0.125","0","0.216666666666667","0.5","0.263333333333333","0.88","0.0666666666666667","0.72","0.64","0.67","0.16","0.37"
"58","26","1","Veggie Burrito","Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce","$11.25 ","1120","56","16.5","0","70","2760","125","27","9","30.5","96","79","60","45","0.56","0.861538461538462","0.825","0","0.233333333333333","1.15","0.416666666666667","1.08","0.1","0.61","0.96","0.79","0.6","0.45"
"59","27","1","Barbacoa Bowl","Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce","$11.75 ","1020","53","18","0","135","2260","89","25","10","48.5","82","59","40","45","0.51","0.815384615384615","0.9","0","0.45","0.941666666666667","0.296666666666667","1","0.111111111111111","0.97","0.82","0.59","0.4","0.45"
"60","27","1","Chips","NULL","$2.15 ","570","27","3.5","0","0","420","73","8","4","8","0","2","4","6","0.285","0.415384615384615","0.175","0","0","0.175","0.243333333333333","0.32","0.0444444444444444","0.16","0","0.02","0.04","0.06"
"61","28","1","Chips and Guacamole","NULL","$4.45 ","800","49","7","0","0","795","81","14","5","10","7","9","6","13","0.4","0.753846153846154","0.35","0","0","0.33125","0.27","0.56","0.0555555555555556","0.2","0.07","0.09","0.06","0.13"
"62","28","1","Steak Soft Tacos","Fresh Tomato Salsa, Cheese","$9.25 ","520","14","7","0","95","750","53","7","4","40","24","25","30","23","0.26","0.215384615384615","0.35","0","0.316666666666667","0.3125","0.176666666666667","0.28","0.0444444444444444","0.8","0.24","0.25","0.3","0.23"
"63","28","1","Veggie Bowl","Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce","$11.25 ","815","45","15.5","0","70","1780","80","23","11","23.5","91","104","42","30","0.4075","0.692307692307692","0.775","0","0.233333333333333","0.741666666666667","0.266666666666667","0.92","0.122222222222222","0.47","0.91","1.04","0.42","0.3"
"64","28","1","Chicken Burrito","Fresh Tomato Salsa, Rice, Black Beans, Cheese","$8.75 ","905","29.5","9","0","155","2035","108","17.5","4","56.5","33","29","51","40","0.4525","0.453846153846154","0.45","0","0.516666666666667","0.847916666666667","0.36","0.7","0.0444444444444444","1.13","0.33","0.29","0.51","0.4"
"65","29","1","Steak Burrito","Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce","$8.99 ","1060","40","15","0","135","2535","115","20","7","57.5","87","42","58","51","0.53","0.615384615384615","0.75","0","0.45","1.05625","0.383333333333333","0.8","0.0777777777777778","1.15","0.87","0.42","0.58","0.51"
"66","29","1","Steak Soft Tacos","Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce","$8.99 ","830","28.5","14","0","135","1445","88","10","4","45.5","79","10","38","30","0.415","0.438461538461538","0.7","0","0.45","0.602083333333333","0.293333333333333","0.4","0.0444444444444444","0.91","0.79","0.1","0.38","0.3"
"67","30","1","Izze","Blackberry","$3.39 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","30","1","Steak Burrito","Tomatillo-Red Chili Salsa (Hot), Rice, Cheese","$8.99 ","800","29","8","0","95","2075","87","6","2","47.5","36","0","44","37","0.4","0.446153846153846","0.4","0","0.316666666666667","0.864583333333333","0.29","0.24","0.0222222222222222","0.95","0.36","0","0.44","0.37"
"69","30","1","Chicken Burrito","Tomatillo-Red Chili Salsa (Hot), Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce","$10.98 ","1095","58.5","19.5","0","195","2525","87","25.5","7","58","85","51","59","46","0.5475","0.9","0.975","0","0.65","1.05208333333333","0.29","1.02","0.0777777777777778","1.16","0.85","0.51","0.59","0.46"
"70","31","1","Steak Burrito","Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Sour Cream","$8.99 ","990","32.5","10","0","105","2005","121","19","8","52.5","25","12","36","49","0.495","0.5","0.5","0","0.35","0.835416666666667","0.403333333333333","0.76","0.0888888888888889","1.05","0.25","0.12","0.36","0.49"
"71","31","1","Side of Chips","NULL","$1.69 ","570","27","3.5","0","0","420","73","8","4","8","0","2","4","6","0.285","0.415384615384615","0.175","0","0","0.175","0.243333333333333","0.32","0.0444444444444444","0.16","0","0.02","0.04","0.06"
"72","32","1","Steak Burrito","Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream, Lettuce","$8.99 ","1040","39.5","15","0","135","2365","111","19","5","56.5","83","12","56","49","0.52","0.607692307692308","0.75","0","0.45","0.985416666666667","0.37","0.76","0.0555555555555556","1.13","0.83","0.12","0.56","0.49"
"73","32","1","Chips and Guacamole","NULL","$3.99 ","800","49","7","0","0","795","81","14","5","10","7","9","6","13","0.4","0.753846153846154","0.35","0","0","0.33125","0.27","0.56","0.0555555555555556","0.2","0.07","0.09","0.06","0.13"
"74","33","1","Chicken Burrito","Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream","$8.75 ","1025","40","16","0","195","2355","108","18.5","4","58.5","46","4","57","40","0.5125","0.615384615384615","0.8","0","0.65","0.98125","0.36","0.74","0.0444444444444444","1.17","0.46","0.04","0.57","0.4"
"75","33","1","Chips and Guacamole","NULL","$4.45 ","800","49","7","0","0","795","81","14","5","10","7","9","6","13","0.4","0.753846153846154","0.35","0","0","0.33125","0.27","0.56","0.0555555555555556","0.2","0.07","0.09","0.06","0.13"
"76","34","1","Chicken Soft Tacos","Tomatillo Red Chili Salsa, Rice, Cheese, Sour Cream, Lettuce","$8.75 ","820","29","15","0","195","1435","86","10.5","3","47.5","77","12","39","23","0.41","0.446153846153846","0.75","0","0.65","0.597916666666667","0.286666666666667","0.42","0.0333333333333333","0.95","0.77","0.12","0.39","0.23"
"77","34","1","Chicken Bowl","Fresh Tomato Salsa, Rice, Black Beans, Pinto Beans, Cheese, Lettuce","$8.75 ","725","20.5","8","0","155","1645","84","25.5","5","55.5","71","49","36","37","0.3625","0.315384615384615","0.4","0","0.516666666666667","0.685416666666667","0.28","1.02","0.0555555555555556","1.11","0.71","0.49","0.36","0.37"
"78","34","1","Chips","NULL","$2.15 ","570","27","3.5","0","0","420","73","8","4","8","0","2","4","6","0.285","0.415384615384615","0.175","0","0","0.175","0.243333333333333","0.32","0.0444444444444444","0.16","0","0.02","0.04","0.06"
"79","34","1","Chicken Bowl","Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce","$8.75 ","725","29","15","0","195","1375","64","15.5","6","51.5","76","39","39","27","0.3625","0.446153846153846","0.75","0","0.65","0.572916666666667","0.213333333333333","0.62","0.0666666666666667","1.03","0.76","0.39","0.39","0.27"
"80","35","1","Chicken Soft Tacos","Roasted Chili Corn Salsa, Rice, Cheese, Lettuce, Guacamole","$11.25 ","990","42","11.5","0","155","1610","105","17.5","5","49.5","60","29","33","32","0.495","0.646153846153846","0.575","0","0.516666666666667","0.670833333333333","0.35","0.7","0.0555555555555556","0.99","0.6","0.29","0.33","0.32"
"81","35","1","Chips","NULL","$2.15 ","570","27","3.5","0","0","420","73","8","4","8","0","2","4","6","0.285","0.415384615384615","0.175","0","0","0.175","0.243333333333333","0.32","0.0444444444444444","0.16","0","0.02","0.04","0.06"
"82","36","1","Barbacoa Burrito","Fresh Tomato Salsa, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce","$9.25 ","1005","39","15.5","0","135","2325","111","17","6","49.5","81","45","59","49","0.5025","0.6","0.775","0","0.45","0.96875","0.37","0.68","0.0666666666666667","0.99","0.81","0.45","0.59","0.49"
"83","36","1","Chicken Burrito","Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce","$8.75 ","1025","39","16","0","195","2065","110","18.5","6","58.5","76","39","59","42","0.5125","0.6","0.8","0","0.65","0.860416666666667","0.366666666666667","0.74","0.0666666666666667","1.17","0.76","0.39","0.59","0.42"
"84","37","1","Chicken Burrito","Tomatillo Green Chili Salsa, Rice, Black Beans, Sour Cream, Cheese","$8.75 ","1000","39","16","0","195","1855","104","16.5","3","57.5","26","4","57","38","0.5","0.6","0.8","0","0.65","0.772916666666667","0.346666666666667","0.66","0.0333333333333333","1.15","0.26","0.04","0.57","0.38"
"85","37","1","Steak Soft Tacos","Tomatillo Red Chili Salsa","$9.25 ","425","7.5","2","0","65","850","51","8","2","34","22","0","8","23","0.2125","0.115384615384615","0.1","0","0.216666666666667","0.354166666666667","0.17","0.32","0.0222222222222222","0.68","0.22","0","0.08","0.23"
"86","38","1","Veggie Bowl","Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Black Beans, Rice, Fajita Veggies, Lettuce","$8.49 ","490","8","0","0","0","1775","90","28","7","19.5","77","82","15","33","0.245","0.123076923076923","0","0","0","0.739583333333333","0.3","1.12","0.0777777777777778","0.39","0.77","0.82","0.15","0.33"
"87","38","1","Steak Bowl","Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Fajita Veggies, Cheese, Lettuce","$8.99 ","640","20.5","7","0","95","1855","67","15","5","47.5","78","50","31","36","0.32","0.315384615384615","0.35","0","0.316666666666667","0.772916666666667","0.223333333333333","0.6","0.0555555555555556","0.95","0.78","0.5","0.31","0.36"
"88","38","1","Bottled Water","NULL","$1.09 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","39","1","Carnitas Burrito","Fresh Tomato Salsa, Rice, Pinto Beans, Sour Cream, Cheese","$9.25 ","1055","45","19","0","135","2295","108.5","15","6","51.5","42","36","61","36","0.5275","0.692307692307692","0.95","0","0.45","0.95625","0.361666666666667","0.6","0.0666666666666667","1.03","0.42","0.36","0.61","0.36"
"90","39","1","Chips and Fresh Tomato Salsa","NULL","$2.95 ","590","27","3.5","0","0","630","78","9","7","9","15","27","6","8","0.295","0.415384615384615","0.175","0","0","0.2625","0.26","0.36","0.0777777777777778","0.18","0.15","0.27","0.06","0.08"
